Date,Low,High,Close,Open
"2016-01-03",1.07809,1.09464,1.08281,1.08694
"2016-01-04",1.07107,1.08386,1.07443,1.0824
"2016-01-05",1.07134,1.07995,1.07838,1.07505
"2016-01-06",1.0771,1.09401,1.08657,1.07767
"2016-01-07",1.08033,1.09306,1.08678,1.09258
"2016-01-10",1.08478,1.09426,1.08574,1.09207
"2016-01-11",1.08196,1.09002,1.086,1.086
"2016-01-12",1.08048,1.08886,1.08266,1.08266
"2016-01-13",1.08345,1.09431,1.08872,1.08856
"2016-01-14",1.08563,1.09845,1.08973,1.08733
"2016-01-17",1.08688,1.09238,1.09061,1.09061
"2016-01-18",1.08592,1.0939,1.08711,1.08926
"2016-01-19",1.08734,1.09761,1.09607,1.09108
"2016-01-20",1.07776,1.09224,1.08751,1.0881
"2016-01-21",1.07891,1.0863,1.08103,1.08583
"2016-01-24",1.07898,1.0857,1.08156,1.08075
"2016-01-25",1.08186,1.08745,1.08664,1.08525
"2016-01-26",1.08507,1.09167,1.08602,1.08618
"2016-01-27",1.08698,1.09677,1.09491,1.09022
"2016-01-28",1.081,1.09488,1.09138,1.09355
"2016-01-31",1.08242,1.0913,1.08482,1.08411
"2016-02-01",1.08924,1.09398,1.09142,1.08957
"2016-02-02",1.09036,1.11457,1.10938,1.09187
"2016-02-03",1.10697,1.12392,1.12143,1.10929
"2016-02-04",1.1109,1.12503,1.11925,1.11994
"2016-02-07",1.10866,1.12159,1.11789,1.11482
"2016-02-08",1.11623,1.13383,1.12886,1.11893
"2016-02-09",1.11604,1.13115,1.12622,1.12883
"2016-02-10",1.12739,1.13768,1.13248,1.12839
"2016-02-11",1.12141,1.13341,1.12562,1.1316
"2016-02-14",1.11281,1.1239,1.11432,1.12271
"2016-02-15",1.11241,1.11932,1.11429,1.11762
"2016-02-16",1.11061,1.11793,1.11229,1.1143
"2016-02-17",1.10708,1.11496,1.10967,1.11203
"2016-02-18",1.10666,1.11393,1.11233,1.11078
"2016-02-21",1.10032,1.11238,1.11092,1.11104
"2016-02-22",1.09899,1.10529,1.10191,1.10416
"2016-02-23",1.09573,1.10464,1.10164,1.10234
"2016-02-24",1.09866,1.10499,1.10317,1.10142
"2016-02-25",1.09115,1.10685,1.09315,1.10232
"2016-02-28",1.08593,1.09625,1.09312,1.09312
"2016-02-29",1.08342,1.08936,1.08656,1.08807
"2016-03-01",1.08256,1.08811,1.08385,1.08762
"2016-03-02",1.08535,1.09727,1.08665,1.08693
"2016-03-03",1.09032,1.10436,1.09977,1.09456
"2016-03-06",1.094,1.10259,1.10161,1.09871
"2016-03-07",1.09934,1.10579,1.10095,1.10126
"2016-03-08",1.0946,1.1035,1.10255,1.10006
"2016-03-09",1.0822,1.12183,1.09863,1.09858
"2016-03-10",1.10802,1.12097,1.11849,1.11766
"2016-03-13",1.10777,1.11667,1.1155,1.1155
