ds,y
"2016-01-03",1.08281
"2016-01-04",1.07443
"2016-01-05",1.07838
"2016-01-06",1.08657
"2016-01-07",1.08678
"2016-01-10",1.08574
"2016-01-11",1.086
"2016-01-12",1.08266
"2016-01-13",1.08872
"2016-01-14",1.08973
"2016-01-17",1.09061
"2016-01-18",1.08711
"2016-01-19",1.09607
"2016-01-20",1.08751
"2016-01-21",1.08103
"2016-01-24",1.08156
"2016-01-25",1.08664
"2016-01-26",1.08602
"2016-01-27",1.09491
"2016-01-28",1.09138
"2016-01-31",1.08482
"2016-02-01",1.09142
"2016-02-02",1.10938
"2016-02-03",1.12143
"2016-02-04",1.11925
"2016-02-07",1.11789
"2016-02-08",1.12886
"2016-02-09",1.12622
"2016-02-10",1.13248
"2016-02-11",1.12562
"2016-02-14",1.11432
"2016-02-15",1.11429
"2016-02-16",1.11229
"2016-02-17",1.10967
"2016-02-18",1.11233
"2016-02-21",1.11092
"2016-02-22",1.10191
"2016-02-23",1.10164
"2016-02-24",1.10317
"2016-02-25",1.09315
"2016-02-28",1.09312
"2016-02-29",1.08656
"2016-03-01",1.08385
"2016-03-02",1.08665
"2016-03-03",1.09977
"2016-03-06",1.10161
"2016-03-07",1.10095
"2016-03-08",1.10255
"2016-03-09",1.09863
"2016-03-10",1.11849
"2016-03-13",1.1155
"2016-03-14",1.10903
"2016-03-15",1.1094
"2016-03-16",1.12714
"2016-03-17",1.12749
"2016-03-20",1.1278
"2016-03-21",1.12226
"2016-03-22",1.11766
"2016-03-23",1.1171
"2016-03-24",1.1156
"2016-03-27",1.11642
"2016-03-28",1.1249
"2016-03-29",1.13332
"2016-03-30",1.13425
"2016-03-31",1.13442
"2016-04-03",1.13835
"2016-04-04",1.13587
"2016-04-05",1.13987
"2016-04-06",1.13773
"2016-04-07",1.13644
"2016-04-10",1.14092
"2016-04-11",1.13918
"2016-04-12",1.13503
"2016-04-13",1.12674
"2016-04-14",1.12819
"2016-04-17",1.12831
"2016-04-18",1.13628
"2016-04-19",1.133
"2016-04-20",1.12946
"2016-04-21",1.12793
"2016-04-24",1.1244
"2016-04-25",1.13052
"2016-04-26",1.13128
"2016-04-27",1.13512
"2016-04-28",1.14525
"2016-05-01",1.14765
"2016-05-02",1.15908
"2016-05-03",1.14905
"2016-05-04",1.14043
"2016-05-05",1.14065
"2016-05-08",1.13953
"2016-05-09",1.13739
"2016-05-10",1.14291
"2016-05-11",1.14252
"2016-05-12",1.13222
"2016-05-15",1.13321
"2016-05-16",1.1316
"2016-05-17",1.12673
"2016-05-18",1.12019
"2016-05-19",1.12112
"2016-05-22",1.12322
"2016-05-23",1.12094
"2016-05-24",1.11518
"2016-05-25",1.12127
"2016-05-26",1.11126
"2016-05-29",1.1141
"2016-05-30",1.11318
"2016-05-31",1.11851
"2016-06-01",1.11886
"2016-06-02",1.11562
"2016-06-05",1.13538
"2016-06-06",1.1349
"2016-06-07",1.13822
"2016-06-08",1.13538
"2016-06-09",1.1299
"2016-06-12",1.12507
"2016-06-13",1.12071
"2016-06-14",1.1262
"2016-06-15",1.12359
"2016-06-16",1.12683
"2016-06-19",1.13476
